Product,Price
"R$19,90",Babador Impermeável Branco - SSPlus
"R$49,90",Agulha Gengival - AllPrime
"R$19,98",Anestésico Tópico Benzotop 20% Tutti-Frutti 30G - DFL
"R$256,15",Anestésico Articaine 4% 1:100.000 - DFL
,Ponta Diamantada Esférica FG - Microdont
,Ponta Diamantada Cônica Extremidade Inativa FG - KG Sorensen
,Rolo Dental - Cremer
"R$25,90",Compressa de Gaze 9 Fios Não Estéril - Ultracotton
"R$35,90",Lençol de Borracha - Madeitex
"R$503,90",Manequim Top Dentística PD100 - Pronew
"R$16,90",Paramonoclorofenol Canforado - Biodinâmica
"R$22,90",Clorhexidina Gel 2% - Maquira
"R$9,79","Hipoclorito de Sódio 2,5% Soda Clorada - Asfer"
"R$16,90",Agulha para Irrigação Saída Lateral - MK Life
"R$0,79",Seringa Descartável Luer Lock 5ml Sem Agulha – BD
"R$190,90",Kit Lima Reciprocante Wave One Gold Sequence Maillefer - Dentsply Sirona
"R$190,90",Kit Lima Reciprocante Wave One Gold Sequence Maillefer - Dentsply Sirona
,Guta Percha Para Sistema Rotatório Pro 04 - Tanari
,Guta Percha Para Sistema Rotatório Pro 04 - Tanari
,Guta Percha Para Sistema Rotatório Pro 04 - Tanari
,Guta Percha Para Sistema Rotatório Pro 04 - Tanari
"R$2.152,90",Sistema de Isolamento DS1 DS Lite - Dryshield
"R$23,90",Gel EDTA - Fórmula & Ação
"R$18,90",Eucaliptol - Biodinâmica
,Ponta de Papel Absorvente Cellpack - AllPrime
"R$117,90",Kit Hidróxido de Cálcio Ultracal XS - Ultradent
"R$148,90",Cimento Endodôntico Obturador Sealer 26 - Dentsply Sirona
,Guta Percha Acessória Maillefer - Dentsply Sirona
,Guta Percha Acessória Maillefer - Dentsply Sirona
"R$27,90",Envelope para Esterilização Autosselante 90x260mm - AllPrime
"R$27,90",Envelope para Esterilização Autosselante 90x260mm - AllPrime
"R$20,90",Restaurador Provisório - Villevie
"R$90,99",Ionômero de Vidro Restaurador Maxxion R - FGM
